
[49, 0.08610116690397263]
[360, 0.00851642806082964]
[361, 0.00997944176197052]
[362, 0.012692868709564209]
[363, 0.010991275310516357]
[364, 0.008589932695031166]
[365, 0.009991399012506008]
[366, 0.007842043414711952]
[367, 0.00961976032704115]
[368, 0.009407308883965015]
[369, 0.009816917590796947]
[370, 0.011777839623391628]
[371, 0.008769798092544079]
[372, 0.00998225249350071]
[373, 0.01033755298703909]
[374, 0.019207820296287537]
[375, 0.006815877743065357]
[376, 0.011641683988273144]
[377, 0.011197593994438648]
[378, 0.007772168610244989]
[379, 0.007995632477104664]
[380, 0.011696377769112587]
[381, 0.01114281453192234]
[382, 0.015308248810470104]
[383, 0.01078584510833025]
[384, 0.007693618535995483]
[385, 0.009474918246269226]
[386, 0.010745483450591564]
[387, 0.009591114707291126]
[388, 0.011797646060585976]
[389, 0.01086397748440504]
[390, 0.01336065586656332]
[391, 0.013272854499518871]
[392, 0.009187787771224976]
[393, 0.01385993417352438]
[394, 0.01052782591432333]
[395, 0.013599353842437267]
[396, 0.01060504000633955]
[397, 0.00710317213088274]
[398, 0.006312379147857428]
[399, 0.012381816282868385]
[400, 0.006702318787574768]
[401, 0.008683085441589355]
[402, 0.006638327147811651]
[403, 0.00825396180152893]
[404, 0.01063032727688551]
[405, 0.00950610637664795]
[406, 0.007834645919501781]
[407, 0.008694181218743324]
[408, 0.014309096150100231]
[409, 0.010551613755524158]
[410, 0.01516821701079607]
[411, 0.010736852884292603]
[412, 0.011118913069367409]
[413, 0.02114901877939701]
[414, 0.02009713463485241]
[415, 0.013913774862885475]
[416, 0.008722344413399696]
[417, 0.009576505981385708]
[418, 0.012180167250335217]
[419, 0.008106062188744545]
[420, 0.00937811192125082]
[421, 0.01025017537176609]
[422, 0.0072791907005012035]
[423, 0.005461853928864002]
[424, 0.008842713199555874]
[425, 0.023141702637076378]
[426, 0.00633195647969842]
[427, 0.008851426653563976]
[428, 0.008332282304763794]
[429, 0.006933778524398804]
[430, 0.015260490588843822]
[431, 0.01073648314923048]
[432, 0.010425657033920288]
[433, 0.010596645064651966]
[434, 0.013335242867469788]
[435, 0.011325511150062084]
[436, 0.007578426506370306]
[437, 0.008398664183914661]
[438, 0.010654154233634472]
[439, 0.011108106933534145]
[440, 0.009071066975593567]
[441, 0.00635756878182292]
[442, 0.009676098823547363]
[443, 0.007172647397965193]
[444, 0.008762470446527004]
[445, 0.010136849246919155]
[446, 0.007689583580940962]
[447, 0.01667821779847145]
[448, 0.010341176763176918]
[449, 0.014581060968339443]
[450, 0.014193842187523842]
[451, 0.013379531912505627]
[452, 0.010773906484246254]
[453, 0.010403389111161232]
[454, 0.011774319224059582]
[455, 0.014862972311675549]
[456, 0.010594898834824562]
[457, 0.00893208384513855]
[458, 0.010173547081649303]
[459, 0.011323756538331509]
[460, 0.015993965789675713]
[461, 0.0073476433753967285]
[462, 0.008228274993598461]
[463, 0.008336219005286694]
[464, 0.012034803628921509]
[465, 0.010480633936822414]
[466, 0.007632222957909107]
[467, 0.011575865559279919]
[468, 0.014173257164657116]
[469, 0.0069774179719388485]
[470, 0.007405090611428022]
[471, 0.010367780923843384]
[472, 0.012891259975731373]
[473, 0.012552449479699135]
[474, 0.009154269471764565]
[475, 0.013392144814133644]
[476, 0.010753962211310863]
[477, 0.011277476325631142]
[478, 0.022006681188941002]
[479, 0.01460943277925253]
[480, 0.011451244354248047]
[481, 0.007614648435264826]
[482, 0.011440679430961609]
[483, 0.01583602838218212]
[484, 0.017606673762202263]
[485, 0.010135102085769176]
[486, 0.010916078463196754]
[487, 0.008586171083152294]
[488, 0.01037666480988264]
[489, 0.01286492682993412]
[490, 0.0059113772585988045]
[491, 0.013028860092163086]
[492, 0.007863259874284267]
[493, 0.01214568316936493]
[494, 0.008985856547951698]
[495, 0.009548417292535305]
[496, 0.011854330077767372]
[497, 0.017674226313829422]
[498, 0.010629928670823574]
[499, 0.010822481475770473]
[500, 0.007834622636437416]
[501, 0.009938905015587807]
[502, 0.017126470804214478]
[503, 0.008760428987443447]
[504, 0.006687256973236799]
[505, 0.012330657802522182]
[506, 0.011501381173729897]
[507, 0.009403670206665993]
[508, 0.01175683457404375]
[509, 0.012696007266640663]
[510, 0.011592516675591469]
[511, 0.006799858994781971]
[512, 0.012844854965806007]
[513, 0.008753987960517406]
[514, 0.009707576595246792]
[515, 0.010284858755767345]
[516, 0.006114173214882612]
[517, 0.007722073700278997]
[518, 0.010002988390624523]
[519, 0.010631334967911243]
[520, 0.007271528244018555]
[521, 0.01277576107531786]
[522, 0.00967391487210989]
[523, 0.01178625226020813]
[524, 0.012717003002762794]
[525, 0.006427353713661432]
[526, 0.011094736866652966]
[527, 0.010104626417160034]
[528, 0.010216662660241127]
[529, 0.01230089645832777]
[530, 0.007130447309464216]
[531, 0.009548268280923367]
[532, 0.007368949241936207]
[533, 0.01599118672311306]
[534, 0.009625310078263283]
[535, 0.01146824099123478]
[536, 0.007507178466767073]
[537, 0.01560811698436737]
[538, 0.015528276562690735]
[539, 0.008126768283545971]
[540, 0.010491910390555859]
[541, 0.007618820760399103]
[542, 0.015461805276572704]
[543, 0.006942880339920521]
[544, 0.011560923419892788]
[545, 0.01043268758803606]
[546, 0.009348571300506592]
[547, 0.009330016560852528]
[548, 0.011195773258805275]
[549, 0.011746490374207497]
[550, 0.011304435320198536]
[551, 0.01225600577890873]
[552, 0.0125752417370677]
[553, 0.009464574046432972]
[554, 0.008335146121680737]
[555, 0.010599282570183277]
[556, 0.008644533343613148]
[557, 0.015506508760154247]
[558, 0.009262725710868835]
[559, 0.010421189479529858]
[560, 0.009591415524482727]
[561, 0.013320604339241982]
[562, 0.011563760228455067]
[563, 0.009560680948197842]
[564, 0.012450617738068104]
[565, 0.01297191996127367]
[566, 0.010313862934708595]
[567, 0.011626622639596462]
[568, 0.006743735168129206]
[569, 0.012652001343667507]
[570, 0.010399902239441872]
[571, 0.009085172787308693]
[572, 0.006195518653839827]
[573, 0.011981546878814697]
[574, 0.009098494425415993]
[575, 0.012436947785317898]
[576, 0.013016864657402039]
[577, 0.010304036550223827]
[578, 0.012291381135582924]
[579, 0.014314353466033936]
[580, 0.009663951583206654]
[581, 0.012355390004813671]
