[708, 1.3497123718261719]
[709, 0.8130130171775818]
[710, 1.3300150632858276]
[711, 1.1028457880020142]
[712, 1.1781738996505737]
[713, 1.0529307126998901]
[714, 0.9663421511650085]
[715, 1.088614821434021]
[716, 1.2224842309951782]
[717, 1.3898314237594604]
[718, 0.9392591714859009]
[719, 1.3470300436019897]
[720, 1.388028621673584]
[721, 1.2405681610107422]
[722, 1.4972580671310425]
[723, 1.1201164722442627]
[724, 1.2115978002548218]
[725, 1.2285915613174438]
[726, 1.5180107355117798]
[727, 1.3180838823318481]
[728, 1.2858458757400513]
[729, 1.5357474088668823]
[730, 1.0000189542770386]
[731, 0.8780935406684875]
[732, 1.135337233543396]
[733, 1.3317512273788452]
[734, 1.2361143827438354]
[735, 1.4726629257202148]
[736, 1.3221303224563599]
[737, 1.4945197105407715]
[738, 1.3697861433029175]
[739, 1.437529444694519]
[740, 0.9695544242858887]
[741, 1.160122275352478]
[742, 1.259506106376648]
[743, 1.1718577146530151]
[744, 1.31327223777771]
[745, 1.372748851776123]
[746, 1.2509466409683228]
[747, 1.1475927829742432]
[748, 1.1399177312850952]
[749, 1.2400147914886475]
[750, 1.0270540714263916]
[751, 1.1276508569717407]
[752, 1.4345287084579468]
[753, 1.2796214818954468]
[754, 1.19215989112854]
[755, 1.2422813177108765]
[756, 1.5615710020065308]
[757, 1.3529905080795288]
[758, 1.1627029180526733]
[759, 1.3359148502349854]
[760, 1.0307188034057617]
[761, 1.3313307762145996]
[762, 1.3513797521591187]
[763, 1.1750074625015259]
[764, 1.4105693101882935]
[765, 1.0131456851959229]
[766, 1.2899678945541382]
[767, 0.9275181889533997]
[768, 1.437919020652771]
[769, 1.2737153768539429]
[770, 1.1311938762664795]
[771, 1.1171821355819702]
[772, 1.2984036207199097]
[773, 0.8381614089012146]
[774, 1.1103278398513794]
[775, 0.8816949129104614]
[776, 1.1504106521606445]
[777, 1.0764440298080444]
[778, 1.2512325048446655]
[779, 1.4573863744735718]
[780, 1.4652858972549438]
[781, 1.186854600906372]
[782, 0.9987503290176392]
[783, 1.3639482259750366]
[784, 1.2527002096176147]
[785, 1.145450472831726]
[786, 1.652788758277893]
[787, 1.2354816198349]
