candidate,variant,epoch,task,K,distance,stat,smooth,D_style,D_struct,d_stab,Separation_Ratio,D_style_raw,D_struct_raw,d_stab_raw,Separation_Ratio_raw,unstable_ratio,tau,Dice,num_samples
K8_l2_mean_smooth1,w_CGSD,175,bSSFP_to_LGE,8,l2,mean,1,0.3212289253676072,0.3883762214471513,0.03503819679786535,0.8424151227584276,0.3212289253676072,0.3883762214471513,0.03503819679786535,0.8424151227584276,0.25912705063819885,0.0352371484041214,0.7434009968763341,731
K8_l2_mean_smooth1,w/o_CGSD,175,bSSFP_to_LGE,8,l2,mean,1,0.370822788763101,0.4004800724950296,0.047097572835587145,0.9356282978844025,0.370822788763101,0.4004800724950296,0.047097572835587145,0.9356282978844025,0.3611847460269928,0.0352371484041214,0.7399636212979235,731
K8_l2_mean_smooth1,w_CGSD,200,bSSFP_to_LGE,8,l2,mean,1,0.3762787809803276,0.3938760813319734,0.031408247148393395,0.9722301093434692,0.3762787809803276,0.3938760813319734,0.031408247148393395,0.9722301093434692,0.23155352473258972,0.0352371484041214,0.7363974982275667,731
K8_l2_mean_smooth1,w/o_CGSD,200,bSSFP_to_LGE,8,l2,mean,1,0.27393917946634316,0.2999471659147005,0.04996026260537933,0.9187986889371711,0.27393917946634316,0.2999471659147005,0.04996026260537933,0.9187986889371711,0.3636012673377991,0.0352371484041214,0.7278061277810797,731
K8_l2_mean_smooth1,w_CGSD,225,bSSFP_to_LGE,8,l2,mean,1,0.31214232090960764,0.3613992458637933,0.027366176215009218,0.8760634963250009,0.31214232090960764,0.3613992458637933,0.027366176215009218,0.8760634963250009,0.2034183144569397,0.0352371484041214,0.7520798963454484,731
K8_l2_mean_smooth1,w/o_CGSD,225,bSSFP_to_LGE,8,l2,mean,1,0.327536111547901,0.3602038584927127,0.05657875034157571,0.917232551052673,0.327536111547901,0.3602038584927127,0.05657875034157571,0.917232551052673,0.37695935368537903,0.0352371484041214,0.7383717585018558,731
K8_l2_mean_smooth1,w_CGSD,250,bSSFP_to_LGE,8,l2,mean,1,0.336178893037919,0.3610278013227751,0.0258555982423679,0.9418826783979238,0.336178893037919,0.3610278013227751,0.0258555982423679,0.9418826783979238,0.19356213510036469,0.0352371484041214,0.7132621558507408,731
K8_l2_mean_smooth1,w/o_CGSD,250,bSSFP_to_LGE,8,l2,mean,1,0.3618662249887881,0.3925080289930902,0.04612780435597009,0.9270102939286531,0.3618662249887881,0.3925080289930902,0.04612780435597009,0.9270102939286531,0.3423404395580292,0.0352371484041214,0.7437350935283507,731
K8_l2_mean_smooth1,w_CGSD,275,bSSFP_to_LGE,8,l2,mean,1,0.3154652060160336,0.3502578280260482,0.0238355835637388,0.9130238687533939,0.3154652060160336,0.3502578280260482,0.0238355835637388,0.9130238687533939,0.1806291788816452,0.0352371484041214,0.7433598442564742,731
K8_l2_mean_smooth1,w/o_CGSD,275,bSSFP_to_LGE,8,l2,mean,1,0.29570769658491985,0.3339061526462346,0.04265599834117628,0.890293122205913,0.29570769658491985,0.3339061526462346,0.04265599834117628,0.890293122205913,0.33125048875808716,0.0352371484041214,0.7349757549411837,731
K8_l2_mean_smooth1,w_CGSD,300,bSSFP_to_LGE,8,l2,mean,1,0.3417982506271907,0.3683659972288379,0.022277201972039456,0.9365117706911967,0.3417982506271907,0.3683659972288379,0.022277201972039456,0.9365117706911967,0.1707516312599182,0.0352371484041214,0.7412813880413521,731
